"filename", "language", "JavaScript", "HTML", "CSS", "vue", "SCSS", "YAML", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Source code\guagui\JRMS2.0\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\wechat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\xunjian_setting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\yingjian_setting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\zanting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\zhuapaixiangji.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\zip.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\录像.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\系统管理.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\翻转镜头.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svgo.yml", "YAML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 13, 5, 23
"d:\Source code\guagui\JRMS2.0\src\langs\en.js", "JavaScript", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 338
"d:\Source code\guagui\JRMS2.0\src\langs\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 34
"d:\Source code\guagui\JRMS2.0\src\langs\zh.js", "JavaScript", 409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 410
"d:\Source code\guagui\JRMS2.0\src\layout\components\AppMain.vue", "vue", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 57
"d:\Source code\guagui\JRMS2.0\src\layout\components\Navbar.vue", "vue", 0, 0, 0, 121, 0, 0, 0, 0, 0, 17, 16, 154
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\Item.vue", "vue", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\Link.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 4, 37
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\Logo.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 5, 9, 99
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\SidebarItem.vue", "vue", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 7, 108
"d:\Source code\guagui\JRMS2.0\src\layout\components\Sidebar\index.vue", "vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 7, 3, 95
"d:\Source code\guagui\JRMS2.0\src\layout\components\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Source code\guagui\JRMS2.0\src\layout\index.vue", "vue", 0, 0, 0, 320, 0, 0, 0, 0, 0, 4, 8, 332
"d:\Source code\guagui\JRMS2.0\src\main.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 95
"d:\Source code\guagui\JRMS2.0\src\permission.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 26, 11, 100
"d:\Source code\guagui\JRMS2.0\src\router\index.js", "JavaScript", 349, 0, 0, 0, 0, 0, 0, 0, 0, 47, 14, 410
"d:\Source code\guagui\JRMS2.0\src\settings.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 16
"d:\Source code\guagui\JRMS2.0\src\store\getters.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Source code\guagui\JRMS2.0\src\store\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Source code\guagui\JRMS2.0\src\store\modules\app.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"d:\Source code\guagui\JRMS2.0\src\store\modules\carrier.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"d:\Source code\guagui\JRMS2.0\src\store\modules\global.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"d:\Source code\guagui\JRMS2.0\src\store\modules\permission.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 69
"d:\Source code\guagui\JRMS2.0\src\store\modules\settings.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Source code\guagui\JRMS2.0\src\store\modules\systemConfig.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Source code\guagui\JRMS2.0\src\store\modules\user.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 119
"d:\Source code\guagui\JRMS2.0\src\styles\element-ui.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 9, 45
"d:\Source code\guagui\JRMS2.0\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 12, 75
"d:\Source code\guagui\JRMS2.0\src\styles\mixin.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\Source code\guagui\JRMS2.0\src\styles\sidebar.scss", "SCSS", 0, 0, 0, 0, 165, 0, 0, 0, 0, 6, 38, 209
"d:\Source code\guagui\JRMS2.0\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 10, 49
"d:\Source code\guagui\JRMS2.0\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 5, 27
"d:\Source code\guagui\JRMS2.0\src\utils\auth.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
